step	score	i_read_ua	i_leak_na	on_off	t_read_ns
1	6.85	665.242	0.002	301482391.2	0.052
2	-62.13	1010.070	0.003	300613387.4	0.057
3	8.19	658.279	0.002	321175942.5	0.075
4	8.00	659.209	0.002	302640724.6	0.077
5	31.36	542.448	0.002	230869215.5	0.077
6	6.85	665.242	0.002	301482391.2	0.050
7	60.90	394.882	0.002	193938471.2	0.060
8	-57.19	984.303	0.002	432134500.0	0.163
9	120.65	96.189	0.002	51444027.9	0.057
10	-421.77	2807.740	0.002	1312328523.8	0.111
11	59.02	404.327	0.002	203569144.9	0.059
12	-71.13	100.484	0.002	54088504.0	0.761
13	-111.43	1250.170	0.003	485544396.0	0.698
14	-131.76	275.958	0.002	141079937.0	0.138
15	-29.82	113.825	0.002	60043466.6	0.081
16	-237.87	868.690	0.002	397404284.7	0.581
17	75.47	321.929	0.002	163777376.4	0.072
18	124.53	76.801	0.002	41256976.8	0.056
19	122.10	88.291	0.002	47774242.6	0.120
20	-362.16	139.435	0.002	73878327.4	0.161
21	128.79	55.322	0.002	29145724.7	0.071
22	115.88	120.144	0.002	65368125.5	0.047
23	127.71	60.243	0.002	32855039.3	0.121
24	116.15	117.950	0.002	62946280.9	0.129
25	115.88	120.144	0.002	65367769.9	0.047
26	189.86	46.779	0.002	24667626.4	0.070
27	207.09	28.662	0.002	15155455.2	0.116
28	189.76	47.546	0.002	25943688.1	0.119
29	207.09	28.662	0.002	15155455.2	0.116
30	207.09	28.662	0.002	15155455.2	0.116
31	-12.54	749.576	0.003	294487223.8	1.313
32	-32.00	115.954	0.002	63022588.4	0.052
33	207.63	28.930	0.002	15295598.0	0.116
34	-452.30	28.662	0.002	15155455.2	0.166
35	118.43	106.572	0.002	57185477.7	0.126
36	115.88	120.144	0.002	65368125.5	0.048
37	207.09	28.662	0.002	15155455.2	0.118
38	8.01	120.144	0.002	65368125.5	0.047
39	115.88	120.144	0.002	65368125.5	0.047
40	207.09	28.662	0.002	15155455.2	0.119
41	115.88	120.144	0.002	65368125.5	0.048
42	-736.69	3368.840	0.002	1419977576.0	0.198
43	207.09	28.662	0.002	15155455.2	0.119
44	113.74	130.025	0.002	69101586.4	0.127
45	-93.78	120.144	0.002	65368125.5	0.048
46	-343.17	2414.810	0.002	1212686248.6	0.102
47	207.09	28.662	0.002	15155322.2	0.118
48	115.87	120.144	0.002	65368125.5	0.048
49	207.09	28.662	0.002	15154708.4	0.118
50	207.10	28.662	0.002	15155455.2	0.115
51	-32632406.19	28.662	28662.300	1.0	0.115
52	-282.61	2106.630	0.003	748356133.7	0.644
53	85.67	271.159	0.002	148557481.6	0.049
54	114.07	129.158	0.002	69811361.5	0.047
55	-534.05	3368.840	0.002	1419977576.0	0.141
56	-598.41	120.144	0.002	65368125.5	0.047
57	90.26	248.027	0.002	128638704.6	0.066
58	-112.84	749.576	0.003	294487223.8	1.461
59	122.77	84.957	0.002	46029885.8	0.119
60	68.11	354.244	0.002	174325813.9	0.521
61	-174.65	1571.440	0.003	591554173.6	0.179
62	-314.43	1581.430	0.003	549164843.6	0.226
63	49.85	450.010	0.002	221842633.3	0.073
64	119.74	100.108	0.002	53903229.6	0.117
65	-57.30	984.071	0.002	446983984.2	0.245
66	-82.79	1111.100	0.003	444381341.7	0.286
67	-601.59	1714.910	0.005	355471859.2	0.260
68	-26.38	288.404	0.002	148141071.1	0.073
69	94.49	227.063	0.002	124968628.9	0.049
70	-398.56	2687.460	0.003	1015976107.7	0.535
71	124.75	75.605	0.002	40512699.6	0.064
72	-149.35	253.937	0.002	130470993.8	0.406
73	12.58	78.446	0.002	42475093.1	0.100
74	-47.97	935.465	0.003	369677414.3	0.437
75	129.74	50.183	0.002	26856025.1	0.110
76	96.14	216.074	0.002	112219417.7	0.321
77	73.52	331.751	0.002	168966746.6	0.067
78	-163.01	261.203	0.002	135001886.5	0.329
79	-25.29	228.232	0.002	125482175.5	0.050
80	48.92	453.822	0.002	217216622.2	0.160
81	125.42	72.104	0.002	38837682.8	0.080
82	189.80	39.503	0.002	21199293.8	0.099
83	128.38	57.335	0.002	30776295.7	0.078
84	128.41	57.212	0.002	30760235.5	0.076
